00:18:42.826 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.828 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b ---> idle_time: 2249462; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.830 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.830 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a ---> idle_time: 2249487; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.830 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - EXPIRED idle resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67 ---> idle_time: 2249488; max_idle_time: 1800000 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@b1afb37
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Removing expired resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67 [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-AdminTaskTimer] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - FINISHED check for expired resources.  [com.mchange.v2.resourcepool.BasicResourcePool@195508fd]
00:18:42.831 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327
00:18:42.832 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a
00:18:42.834 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327
00:18:42.834 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@41df0327
00:18:42.834 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554
00:18:42.834 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425
00:18:42.835 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554
00:18:42.835 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@6bf0d425
00:18:42.835 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa
00:18:42.836 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@473321fa
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@24eced4a
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d
00:18:42.839 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b
00:18:42.838 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@42902554
00:18:42.839 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d
00:18:42.839 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a
00:18:42.840 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a
00:18:42.840 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b
00:18:42.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d
00:18:42.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2588015b
00:18:42.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#2] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@5340116d
00:18:42.842 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a
00:18:42.842 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#1] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Successfully destroyed resource: com.mchange.v2.c3p0.impl.NewPooledConnection@475d119a
00:18:42.841 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.resourcepool.BasicResourcePool - Preparing to destroy resource: com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67
00:18:42.842 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Preparing to destroy PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67
00:18:42.844 [C3P0PooledConnectionPoolManager[identityToken->1b60hsb9h1q35sa81cjg77i|35853853]-HelperThread-#0] DEBUG com.mchange.v2.c3p0.impl.C3P0PooledConnectionPool - Successfully destroyed PooledConnection: com.mchange.v2.c3p0.impl.NewPooledConnection@2c0ea67
